,Location,ad_id,ad_link,energy_label,lat,local_area_name,lon,property_type_description,size_from,type,byggear_cat,ownership_cat,"lat,lon"
30,"Harald Løvenskiolds vei 11B, Oslo",261187780,https://www.finn.no/realestate/homes/ad.html?finnkode=261187780,7,59.94724,Røa,10.63748,Tomannsbolig,284.0,realestate,0,1,"59.94724,10.63748"
31,"Westye Egebergs gate 7C, Oslo",261175471,https://www.finn.no/realestate/homes/ad.html?finnkode=261175471,7,59.92269,#St. Hanshaugen,10.74768,Leilighet,22.0,realestate,0,2,"59.92269,10.74768"
32,"Hans Nielsen Hauges gate 10, Trondheim",260970146,https://www.finn.no/realestate/homes/ad.html?finnkode=260970146,7,63.43767,LADEMOEN,10.4323,Leilighet,47.0,realestate,0,1,"63.43767,10.4323"
33,"Tuengveien 23, Høvik",260941254,https://www.finn.no/realestate/homes/ad.html?finnkode=260941254,7,59.89455,NEDRE HØVIK,10.5649,Enebolig,204.0,realestate,0,1,"59.89455,10.5649"
34,"Herman Grans vei 38, Laksevåg",260815425,https://www.finn.no/realestate/homes/ad.html?finnkode=260815425,7,60.38532,,5.29342,Leilighet,45.0,realestate,0,1,"60.38532,5.29342"
35,"Strandlien 26, Bergen",260668392,https://www.finn.no/realestate/homes/ad.html?finnkode=260668392,7,60.3794,Solheimsviken,5.3203,Leilighet,86.0,realestate,0,1,"60.3794,5.3203"
36,"Bygdøy allé 90, Oslo",260516370,https://www.finn.no/realestate/homes/ad.html?finnkode=260516370,7,59.9189,,10.6938,Leilighet,65.0,realestate,0,1,"59.9189,10.6938"
37,"Holmenkollveien 25B, Oslo",256183220,https://www.finn.no/realestate/homes/ad.html?finnkode=256183220,7,59.9457,Holmendammen/Gressbanen,10.6788,Enebolig,243.0,realestate,0,1,"59.9457,10.6788"
38,"Herman Wildenveys gate 31, Stavern",260644052,https://www.finn.no/realestate/homes/ad.html?finnkode=260644052,7,59.00014,Varden / Stavern,10.02525,Enebolig,103.0,realestate,0,1,"59.00014,10.02525"
39,"Stangsgate 36, Porsgrunn",260575683,https://www.finn.no/realestate/homes/ad.html?finnkode=260575683,7,59.13519,Porsgrunn - Bjørntvedt,9.6613,Enebolig,186.0,realestate,0,1,"59.13519,9.6613"
42,"Kveøyveien 348, Borkenes",259022832,https://www.finn.no/realestate/homes/ad.html?finnkode=259022832,7,68.75077,,16.14371,Enebolig,89.0,realestate,0,1,"68.75077,16.14371"
43,"Opsalvegen 44, Hjartdal",260413392,https://www.finn.no/realestate/homes/ad.html?finnkode=260413392,7,59.6053,Gvammen,8.6942,Enebolig,186.0,realestate,0,1,"59.6053,8.6942"
44,"Hovlandveien 20, Nøtterøy",260112367,https://www.finn.no/realestate/homes/ad.html?finnkode=260112367,7,59.2075,NYHET!,10.4016,Enebolig,133.0,realestate,0,1,"59.2075,10.4016"
45,"Nedre Movei 2, Nesoddtangen",253698437,https://www.finn.no/realestate/homes/ad.html?finnkode=253698437,7,59.8663,NESODDTANGEN,10.6629,Enebolig,213.0,realestate,0,1,"59.8663,10.6629"
46,"Solbakken allé 5B, Oslo",260026993,https://www.finn.no/realestate/homes/ad.html?finnkode=260026993,7,59.94308,Høybråten,10.91863,Enebolig,101.0,realestate,0,1,"59.94308,10.91863"
47,"Tors gate 8, Kristiansand S",259986022,https://www.finn.no/realestate/homes/ad.html?finnkode=259986022,7,58.15245,Lund,8.01704,Leilighet,41.0,realestate,0,1,"58.15245,8.01704"
48,"Spongdalsvegen 552C, Spongdal",259827372,https://www.finn.no/realestate/homes/ad.html?finnkode=259827372,7,63.3786,Byneset/Spongdal,10.1686,Leilighet,197.0,realestate,0,1,"63.3786,10.1686"
49,"Eidsvågveien 18, Eidsvågneset",258720742,https://www.finn.no/realestate/homes/ad.html?finnkode=258720742,7,60.4429,EIDSVÅGNESET,5.2828,Enebolig,203.0,realestate,0,1,"60.4429,5.2828"
50,"Kirkevikvegen 58, Ask",250198119,https://www.finn.no/realestate/homes/ad.html?finnkode=250198119,7,60.48835,,5.20508,Enebolig,183.0,realestate,0,1,"60.48835,5.20508"
51,"Svinndalveien 16 A + B, Svinndal",212416321,https://www.finn.no/realestate/homes/ad.html?finnkode=212416321,7,59.42484,,11.01133,Enebolig,216.0,realestate,0,1,"59.42484,11.01133"
52,"Inndyrveien 102, Inndyr",233352957,https://www.finn.no/realestate/homes/ad.html?finnkode=233352957,7,67.0383,INNDYR,14.0338,Enebolig,152.0,realestate,0,1,"67.0383,14.0338"
53,"Nils Ankers gate 8, Halden",259095973,https://www.finn.no/realestate/homes/ad.html?finnkode=259095973,7,59.1239,,11.3833,Leilighet,51.0,realestate,0,1,"59.1239,11.3833"
54,"Steingrimsvei 12 B, Oslo",213187171,https://www.finn.no/realestate/homes/ad.html?finnkode=213187171,7,59.88448,Bekkelagshøgda/Nordstrand,10.8018,Enebolig,176.0,realestate,0,1,"59.88448,10.8018"
55,"Blåsenborgveien 3, Sandnes",258995588,https://www.finn.no/realestate/homes/ad.html?finnkode=258995588,7,58.8534,Stangeland,5.7266,Tomannsbolig,98.0,realestate,0,1,"58.8534,5.7266"
56,"Grorudfjellet 19, Hemnes",258893426,https://www.finn.no/realestate/homes/ad.html?finnkode=258893426,7,59.72955,,11.40986,Enebolig,255.0,realestate,0,1,"59.72955,11.40986"
57,"Åsmarkvegen 1032, Næroset",258872608,https://www.finn.no/realestate/homes/ad.html?finnkode=258872608,7,60.99736,ÅSMARKA,10.79644,Enebolig,325.0,realestate,0,1,"60.99736,10.79644"
