,Location,ad_id,ad_link,energy_label,lat,local_area_name,lon,property_type_description,size_from,type,byggear_cat,ownership_cat,"lat,lon"
1675,"Agder allé 31, Kristiansand S",258751368,https://www.finn.no/realestate/homes/ad.html?finnkode=258751368,7,58.15395,Lund,8.02247,Leilighet,51.0,realestate,0,2,"58.15395,8.02247"
1676,"Blåbergan 6, Stamsund",257876023,https://www.finn.no/realestate/homes/ad.html?finnkode=257876023,7,68.15258,,13.76454,Enebolig,90.0,realestate,0,1,"68.15258,13.76454"
1677,"Krags Gate 122, Risør",258099917,https://www.finn.no/realestate/homes/ad.html?finnkode=258099917,7,58.71805,,9.21467,Enebolig,111.0,realestate,0,1,"58.71805,9.21467"
1678,"Røykenveien 287, Heggedal",257245076,https://www.finn.no/realestate/homes/ad.html?finnkode=257245076,7,59.7931,Heggedal/Asker,10.4477,Leilighet,75.0,realestate,0,1,"59.7931,10.4477"
1679,"Th. J. Thorsens gate 8, Langesund",257176352,https://www.finn.no/realestate/homes/ad.html?finnkode=257176352,7,59.0014,LANGESUND - KROGSHAVN,9.7405,Enebolig,158.0,realestate,0,1,"59.0014,9.7405"
1680,"Dunderlandsveien 105, Storforshei",191907684,https://www.finn.no/realestate/homes/ad.html?finnkode=191907684,7,66.44239,DUNDERLAND,14.83253,Enebolig,101.0,realestate,0,1,"66.44239,14.83253"
1681,"Hovedveien 57, Sørkjosen",256390511,https://www.finn.no/realestate/homes/ad.html?finnkode=256390511,7,69.79192,,20.94196,Enebolig,120.0,realestate,0,1,"69.79192,20.94196"
1682,"Beimssvingen 2, Hafslo",254719458,https://www.finn.no/realestate/homes/ad.html?finnkode=254719458,7,61.316,,7.1969,Enebolig,151.0,realestate,0,1,"61.316,7.1969"
1683,"Per K. hestetunsveg 6B, Øvre Årdal",252509185,https://www.finn.no/realestate/homes/ad.html?finnkode=252509185,7,61.30978,,7.79894,Tomannsbolig,150.0,realestate,0,2,"61.30978,7.79894"
1684,"Vollevegen 36B, Årdalstangen",252294757,https://www.finn.no/realestate/homes/ad.html?finnkode=252294757,7,61.2445,,7.7158,Leilighet,68.0,realestate,0,2,"61.2445,7.7158"
1685,"Krutthusgata 3, Hammerfest",252174898,https://www.finn.no/realestate/homes/ad.html?finnkode=252174898,7,70.66083,,23.67442,Leilighet,65.0,realestate,0,1,"70.66083,23.67442"
1686,"Bygdaveien 148, Oltedal",251321686,https://www.finn.no/realestate/homes/ad.html?finnkode=251321686,7,58.8324,Oltedal,6.0492,Enebolig,101.0,realestate,0,1,"58.8324,6.0492"
1687,"Råholtvegen 10, Råholt",249420169,https://www.finn.no/realestate/homes/ad.html?finnkode=249420169,7,60.27093,RÅHOLT,11.18336,Enebolig,160.0,realestate,0,1,"60.27093,11.18336"
1688,"Torvald Lægreids veg 8, Årdalstangen",233006671,https://www.finn.no/realestate/homes/ad.html?finnkode=233006671,7,61.2411,,7.7203,Enebolig,216.0,realestate,0,1,"61.2411,7.7203"
1689,"Parkveien 22, Kirkenes",175032901,https://www.finn.no/realestate/homes/ad.html?finnkode=175032901,7,69.72492,Kirkenes - Myra,30.0508,Tomannsbolig,83.0,realestate,0,1,"69.72492,30.0508"
1691,"Eidslandsvegen 869, Stamnes",198824984,https://www.finn.no/realestate/homes/ad.html?finnkode=198824984,7,60.66645,,5.7722,Enebolig,217.0,realestate,0,1,"60.66645,5.7722"
1692,"JØRNS GATE 17, Harstad",215056042,https://www.finn.no/realestate/homes/ad.html?finnkode=215056042,7,68.79964,,16.53349,Enebolig,118.0,realestate,0,1,"68.79964,16.53349"
1693,"Sveagata 42, Kristiansund N",154966039,https://www.finn.no/realestate/homes/ad.html?finnkode=154966039,7,63.11925,Goma,7.74922,Leilighet,89.0,realestate,0,1,"63.11925,7.74922"
1694,"Lørenveien 55C, Oslo",261518089,https://www.finn.no/realestate/homes/ad.html?finnkode=261518089,1,59.92887,Løren,10.79592,Leilighet,56.0,realestate,6,1,"59.92887,10.79592"
1695,"Kokkerudlia 8A, Høvik",260933935,https://www.finn.no/realestate/homes/ad.html?finnkode=260933935,1,59.9048,HØVIK,10.56436,Leilighet,81.0,realestate,6,1,"59.9048,10.56436"
1696,"Krokeidevegen 44, Fana",182400564,https://www.finn.no/realestate/homes/ad.html?finnkode=182400564,1,60.2602,,5.3414,Leilighet,100.0,realestate,6,1,"60.2602,5.3414"
1697,"Sofie Steinnes'veg 9, Kleppe",256368877,https://www.finn.no/realestate/homes/ad.html?finnkode=256368877,1,58.7755,Kleppe,5.6179,Leilighet,93.0,realestate,6,1,"58.7755,5.6179"
1698,"Selsbanes gate 55A, Narvik",261338415,https://www.finn.no/realestate/homes/ad.html?finnkode=261338415,6,68.43936,,17.43909,Tomannsbolig,212.0,realestate,0,1,"68.43936,17.43909"
1699,"Gudes gate 8A, Kongsberg",260917862,https://www.finn.no/realestate/homes/ad.html?finnkode=260917862,6,59.6465,Steglet,9.6426,Rekkehus,110.0,realestate,0,1,"59.6465,9.6426"
1700,"Nils Bays vei 47A, Oslo",260884145,https://www.finn.no/realestate/homes/ad.html?finnkode=260884145,6,59.9525,ULLEVÅLSLETTA / TÅSEN,10.7352,Rekkehus,150.0,realestate,0,1,"59.9525,10.7352"
1701,"Gjerdegata 7, Ulsteinvik",260927008,https://www.finn.no/realestate/homes/ad.html?finnkode=260927008,6,62.3449,,5.8469,Enebolig,208.0,realestate,0,1,"62.3449,5.8469"
1702,"Ulstadvegen 40B, Klæbu",260917416,https://www.finn.no/realestate/homes/ad.html?finnkode=260917416,6,63.29963,Klæbu,10.47128,Tomannsbolig,133.0,realestate,0,1,"63.29963,10.47128"
1703,"Lundgårds vei 53A, Sarpsborg",260675157,https://www.finn.no/realestate/homes/ad.html?finnkode=260675157,6,59.3,Øvre Lande,11.0985,Enebolig,101.0,realestate,0,1,"59.3,11.0985"
1704,"Odins veg 15A, Nesttun",260666563,https://www.finn.no/realestate/homes/ad.html?finnkode=260666563,6,60.3135,,5.3473,Tomannsbolig,159.0,realestate,0,1,"60.3135,5.3473"
1705,"Seljevegen 28, Gjøvik",260783267,https://www.finn.no/realestate/homes/ad.html?finnkode=260783267,6,60.7816,,10.67948,Enebolig,174.0,realestate,0,1,"60.7816,10.67948"
1706,"Folkvangveien 46, Oslo",260673996,https://www.finn.no/realestate/homes/ad.html?finnkode=260673996,6,59.946,Velkommen til Høybråten,10.91799,Tomannsbolig,100.0,realestate,0,1,"59.946,10.91799"
1708,"Wallemsskogen 54, Laksevåg",260638646,https://www.finn.no/realestate/homes/ad.html?finnkode=260638646,6,60.38932,Laksevåg,5.26366,Rekkehus,95.0,realestate,0,1,"60.38932,5.26366"
1709,"Bjerregaards gate 19, Oslo",260564618,https://www.finn.no/realestate/homes/ad.html?finnkode=260564618,6,59.9244,PERFEKT FØRSTEGANGSKJØP PÅ ST.HANSHAUGEN,10.7443,Leilighet,30.0,realestate,0,2,"59.9244,10.7443"
1710,"Stordgata 6B, Haugesund",260021818,https://www.finn.no/realestate/homes/ad.html?finnkode=260021818,6,59.4245,Skeisvann,5.2748,Leilighet,70.0,realestate,0,2,"59.4245,5.2748"
1711,"Balaklava 8B, Moss",260548056,https://www.finn.no/realestate/homes/ad.html?finnkode=260548056,6,59.44246,,10.64142,Leilighet,65.0,realestate,0,2,"59.44246,10.64142"
1712,"Ljoslandsvegen 46, Åseral",249176399,https://www.finn.no/realestate/homes/ad.html?finnkode=249176399,6,58.6213,Kyrkjebygda / Ljoslandsvegen,7.41482,Enebolig,177.0,realestate,0,1,"58.6213,7.41482"
1713,"Kirkegata 2A, Lillehammer",260454153,https://www.finn.no/realestate/homes/ad.html?finnkode=260454153,6,61.1067,Lillehammer,10.4722,Leilighet,36.0,realestate,0,2,"61.1067,10.4722"
1714,"Verven 2A, Stavanger",260020969,https://www.finn.no/realestate/homes/ad.html?finnkode=260020969,6,58.9715,Verven,5.7474,Leilighet,32.0,realestate,0,2,"58.9715,5.7474"
1715,"Frislivegen 21, Moelv",258905752,https://www.finn.no/realestate/homes/ad.html?finnkode=258905752,6,60.9275,Moelv,10.6888,Leilighet,66.0,realestate,0,2,"60.9275,10.6888"
1716,"Skogsvegen 5 A, Mosjøen",260019626,https://www.finn.no/realestate/homes/ad.html?finnkode=260019626,6,65.82331,,13.22164,Leilighet,128.0,realestate,0,1,"65.82331,13.22164"
1717,"Arne Vestrums veg 5, Levanger",259772730,https://www.finn.no/realestate/homes/ad.html?finnkode=259772730,6,63.74785,Frol,11.32136,Enebolig,278.0,realestate,0,1,"63.74785,11.32136"
1718,"Arnljot Gellines vei 31, Oslo",259607624,https://www.finn.no/realestate/homes/ad.html?finnkode=259607624,6,59.9055,Etterstad/Lodalen,10.7996,Leilighet,33.0,realestate,0,3,"59.9055,10.7996"
1719,"Opprødveien 3, Son",258440878,https://www.finn.no/realestate/homes/ad.html?finnkode=258440878,6,59.49667,,10.709,Enebolig,147.0,realestate,0,1,"59.49667,10.709"
1720,"Prokurator Torps gate 2, Kongsberg",258203778,https://www.finn.no/realestate/homes/ad.html?finnkode=258203778,6,59.6711,Ullandløkka,9.6599,Leilighet,32.0,realestate,0,2,"59.6711,9.6599"
1721,"Skjongneset 32, Valderøya",246327533,https://www.finn.no/realestate/homes/ad.html?finnkode=246327533,6,62.5003,Valderøya,6.1039,Enebolig,150.0,realestate,0,1,"62.5003,6.1039"
1722,"Øvre Fallet 10, Rissa",258017887,https://www.finn.no/realestate/homes/ad.html?finnkode=258017887,6,63.5851,,9.96634,Enebolig,193.0,realestate,0,1,"63.5851,9.96634"
1723,"Rothåsen 2, Larkollen",254728837,https://www.finn.no/realestate/homes/ad.html?finnkode=254728837,6,59.3249,,10.6908,Tomannsbolig,182.0,realestate,0,1,"59.3249,10.6908"
1724,"Spurvestien 15, Brumunddal",256985634,https://www.finn.no/realestate/homes/ad.html?finnkode=256985634,6,60.87585,#BRUMUNDDAL,10.94955,Enebolig,113.0,realestate,0,1,"60.87585,10.94955"
1725,"Lauvlia 24A, Krokstadelva",256437476,https://www.finn.no/realestate/homes/ad.html?finnkode=256437476,6,59.7577,Krokstadelva,10.0249,Enebolig,201.0,realestate,0,1,"59.7577,10.0249"
1726,"Fykenvegen 17, Ranheim",248100944,https://www.finn.no/realestate/homes/ad.html?finnkode=248100944,6,63.4203,REPPE,10.55947,Enebolig,311.0,realestate,0,1,"63.4203,10.55947"
1727,"Bastian Dahls veg 2, Molde",252406282,https://www.finn.no/realestate/homes/ad.html?finnkode=252406282,6,62.7428,LANGMYRA,7.1839,Tomannsbolig,89.0,realestate,0,1,"62.7428,7.1839"
1728,"Solvegen 9, Svelgen",250315511,https://www.finn.no/realestate/homes/ad.html?finnkode=250315511,6,61.77498,,5.28643,Enebolig,161.0,realestate,0,1,"61.77498,5.28643"
1729,"Guvågveien 157, Straumsjøen",241804708,https://www.finn.no/realestate/homes/ad.html?finnkode=241804708,6,68.68375,,14.7325,Enebolig,117.0,realestate,0,1,"68.68375,14.7325"
1730,"Kirkegata 30 C, Levanger",127538892,https://www.finn.no/realestate/homes/ad.html?finnkode=127538892,6,63.74542,Levanger sentrum,11.29725,Leilighet,78.0,realestate,0,2,"63.74542,11.29725"
1731,"Garmanns veg 3, Trondheim",261474110,https://www.finn.no/realestate/homes/ad.html?finnkode=261474110,5,63.41318,Marienborg,10.38091,Enebolig,341.0,realestate,1,1,"63.41318,10.38091"
1732,"Klæbuveien 100, Trondheim",261466812,https://www.finn.no/realestate/homes/ad.html?finnkode=261466812,5,63.41487,Høyskoleparken,10.3992,Leilighet,46.0,realestate,1,2,"63.41487,10.3992"
1733,"Ulverudgata 17, Solbergelva",261353367,https://www.finn.no/realestate/homes/ad.html?finnkode=261353367,5,59.7665,Solbergelva,10.0825,Enebolig,228.0,realestate,1,1,"59.7665,10.0825"
1734,"Rauerskauveien 418, Nittedal",260977273,https://www.finn.no/realestate/homes/ad.html?finnkode=260977273,5,60.0403,Nittedal,10.912,Tomannsbolig,139.0,realestate,1,1,"60.0403,10.912"
1735,"Martinshaugen 28, Tranby",260929209,https://www.finn.no/realestate/homes/ad.html?finnkode=260929209,5,59.8197,TRANBY,10.2789,Enebolig,171.0,realestate,1,1,"59.8197,10.2789"
1736,"Stensbakkvegen 13, Furnes",260907987,https://www.finn.no/realestate/homes/ad.html?finnkode=260907987,5,60.8684,,11.0432,Enebolig,225.0,realestate,1,1,"60.8684,11.0432"
1737,"Rugdeveien 37D, Mysen",260955047,https://www.finn.no/realestate/homes/ad.html?finnkode=260955047,5,59.55694,Mysen,11.34034,Leilighet,52.0,realestate,1,2,"59.55694,11.34034"
1738,"Nordåsbrotet 6, Rådal",256947964,https://www.finn.no/realestate/homes/ad.html?finnkode=256947964,5,60.3057,Nordås,5.3071,Leilighet,99.0,realestate,1,2,"60.3057,5.3071"
1739,"Gunnar Reiss-Andersens gate 11, Larvik",260881678,https://www.finn.no/realestate/homes/ad.html?finnkode=260881678,5,59.0571,Tagtvedt,10.0588,Leilighet,48.0,realestate,1,2,"59.0571,10.0588"
1740,"Nedre Storaberget 17, Stavanger",260711128,https://www.finn.no/realestate/homes/ad.html?finnkode=260711128,5,58.8968,,5.7231,Leilighet,96.0,realestate,1,2,"58.8968,5.7231"
1741,"Breisynvegen 2C, Trondheim",260898437,https://www.finn.no/realestate/homes/ad.html?finnkode=260898437,5,63.41129,HAVSTEIN,10.37481,Enebolig,165.0,realestate,1,1,"63.41129,10.37481"
1742,"Vestbyveien 19 A, Ytre Enebakk",260872281,https://www.finn.no/realestate/homes/ad.html?finnkode=260872281,5,59.73114,,11.03429,Enebolig,164.0,realestate,1,1,"59.73114,11.03429"
1743,"Helsethellinga 32, Bærums Verk",260780745,https://www.finn.no/realestate/homes/ad.html?finnkode=260780745,5,59.9434,Bærums Verk/ Helsethellinga,10.5172,Leilighet,91.0,realestate,1,1,"59.9434,10.5172"
1744,"Leaveien 50, Sandnes",251521243,https://www.finn.no/realestate/homes/ad.html?finnkode=251521243,5,58.82616,Julebygda/Malmheim,5.64811,Enebolig,207.0,realestate,1,1,"58.82616,5.64811"
1745,"Torvteigen 26, Ålesund",218619860,https://www.finn.no/realestate/homes/ad.html?finnkode=218619860,5,62.4769,Larsgården,6.2487,Leilighet,95.0,realestate,1,2,"62.4769,6.2487"
1746,"Nordåsbrotet 94, Rådal",260787586,https://www.finn.no/realestate/homes/ad.html?finnkode=260787586,5,60.30457,,5.30598,Rekkehus,145.0,realestate,1,1,"60.30457,5.30598"
1747,"Linerleveien 13, Son",260782960,https://www.finn.no/realestate/homes/ad.html?finnkode=260782960,5,59.5031,,10.69219,Enebolig,288.0,realestate,1,1,"59.5031,10.69219"
1748,"Øvrehusvegen 33, Tjelta",251755096,https://www.finn.no/realestate/homes/ad.html?finnkode=251755096,5,58.8432,Tjelta,5.5983,Enebolig,241.0,realestate,1,1,"58.8432,5.5983"
1749,"Austbøstien 49, Hundvåg",260621639,https://www.finn.no/realestate/homes/ad.html?finnkode=260621639,5,58.9949,Hundvåg,5.7344,Rekkehus,125.0,realestate,1,2,"58.9949,5.7344"
1750,"Haldenveien 1374, Degernes",250875535,https://www.finn.no/realestate/homes/ad.html?finnkode=250875535,5,59.30809,Watvedt,11.41138,Enebolig,247.0,realestate,1,1,"59.30809,11.41138"
1751,"Tuterudstubben 15, Kjeller",255552593,https://www.finn.no/realestate/homes/ad.html?finnkode=255552593,5,59.9818,Kjeller|Tuterud,11.0115,Tomannsbolig,166.0,realestate,1,1,"59.9818,11.0115"
1752,"Skogbrynet 3, Drammen",259721474,https://www.finn.no/realestate/homes/ad.html?finnkode=259721474,5,59.7019,Konnerud,10.1564,Enebolig,245.0,realestate,1,1,"59.7019,10.1564"
1753,"Oddliveien 25A, Hønefoss",260163488,https://www.finn.no/realestate/homes/ad.html?finnkode=260163488,5,60.16472,Hønefoss - Oddli,10.2741,Enebolig,188.0,realestate,1,1,"60.16472,10.2741"
1754,"Ospelia 30 B, Hagan",260151709,https://www.finn.no/realestate/homes/ad.html?finnkode=260151709,5,59.97923,Skillebekk,10.933,Leilighet,49.0,realestate,1,2,"59.97923,10.933"
1755,"Sagrønningen 9, Larvik",260039225,https://www.finn.no/realestate/homes/ad.html?finnkode=260039225,5,59.0797,Nordbylia,10.0587,Enebolig,191.0,realestate,1,1,"59.0797,10.0587"
1756,"Nedre Frydendal 55, Asker",259735797,https://www.finn.no/realestate/homes/ad.html?finnkode=259735797,5,59.8425,FRYDENDAL / ASKER,10.4246,Rekkehus,100.0,realestate,1,1,"59.8425,10.4246"
1757,"Revhaugveien 5, Bjugn",260054456,https://www.finn.no/realestate/homes/ad.html?finnkode=260054456,5,63.76732,Bjugn sentrum,9.8093,Enebolig,162.0,realestate,1,1,"63.76732,9.8093"
1758,"Nedreveien 6, Stavanger",259898822,https://www.finn.no/realestate/homes/ad.html?finnkode=259898822,5,58.9268,Nedre Vaulen,5.7428,Enebolig,136.0,realestate,1,1,"58.9268,5.7428"
1759,"Stjerneveien 10, Siggerud",259855947,https://www.finn.no/realestate/homes/ad.html?finnkode=259855947,5,59.79265,,10.89308,Enebolig,259.0,realestate,1,1,"59.79265,10.89308"
1760,"Øvre Bildøybakken 9, Kolltveit",259509115,https://www.finn.no/realestate/homes/ad.html?finnkode=259509115,5,60.3503,,5.098,Enebolig,143.0,realestate,1,1,"60.3503,5.098"
1761,"Væretrøa 83, Ranheim",259174289,https://www.finn.no/realestate/homes/ad.html?finnkode=259174289,5,63.43196,Væretrøa,10.58583,Enebolig,228.0,realestate,1,1,"63.43196,10.58583"
1762,"Kopperudsvingen 4, Skotselv",259157324,https://www.finn.no/realestate/homes/ad.html?finnkode=259157324,5,59.8452,Skotselv,9.89034,Rekkehus,91.0,realestate,1,1,"59.8452,9.89034"
1763,"Veaveien 70, Straumsjøen",257700704,https://www.finn.no/realestate/homes/ad.html?finnkode=257700704,5,68.68696,BØ,14.489,Enebolig,144.0,realestate,1,1,"68.68696,14.489"
1764,"Solbakkveien 8, Alta",258854805,https://www.finn.no/realestate/homes/ad.html?finnkode=258854805,5,70.0214,Rafsbotn,23.5313,Enebolig,184.0,realestate,1,1,"70.0214,23.5313"
1765,"Fossvegen 7, Sogndal",257133400,https://www.finn.no/realestate/homes/ad.html?finnkode=257133400,5,61.2314,Fosshaugane Campus,7.0898,Leilighet,47.0,realestate,1,1,"61.2314,7.0898"
1766,"Rådhussvingen 31, Ski",254701188,https://www.finn.no/realestate/homes/ad.html?finnkode=254701188,5,59.7202,Ski sentrum,10.8415,Leilighet,56.0,realestate,1,1,"59.7202,10.8415"
1767,"Ringlevegen 4, Verdal",250036667,https://www.finn.no/realestate/homes/ad.html?finnkode=250036667,5,63.8098,Forbregd Lein,11.55391,Enebolig,149.0,realestate,1,1,"63.8098,11.55391"
1768,"Flatbyvegen 6, Årnes",249147702,https://www.finn.no/realestate/homes/ad.html?finnkode=249147702,5,60.1316,ÅRNES,11.4895,Enebolig,205.0,realestate,1,1,"60.1316,11.4895"
1769,"Holteveien 29A, Kolbotn",236527369,https://www.finn.no/realestate/homes/ad.html?finnkode=236527369,5,59.81696,,10.79762,Enebolig,224.0,realestate,1,1,"59.81696,10.79762"
1770,"Fossvegen 7, Sogndal",219111858,https://www.finn.no/realestate/homes/ad.html?finnkode=219111858,5,61.2314,,7.0898,Leilighet,42.0,realestate,1,1,"61.2314,7.0898"
1772,"Kastbakkvegen 14 B, Moelv",260529896,https://www.finn.no/realestate/homes/ad.html?finnkode=260529896,2,60.91684,,10.70564,Tomannsbolig,127.0,realestate,3,1,"60.91684,10.70564"
1773,"Sjøvegen 34, Nesna",260026930,https://www.finn.no/realestate/homes/ad.html?finnkode=260026930,2,66.20116,Nesna,13.0274,Enebolig,281.0,realestate,3,1,"66.20116,13.0274"
1774,"Børkesvevegen 1, Brumunddal",261449810,https://www.finn.no/realestate/homes/ad.html?finnkode=261449810,5,60.2733,,12.0949,Leilighet,92.0,realestate,1,2,"60.2733,12.0949"
1775,"Delfinen 19C, Hamar",261406651,https://www.finn.no/realestate/homes/ad.html?finnkode=261406651,5,60.8139,Hamar,11.0533,Rekkehus,89.0,realestate,1,2,"60.8139,11.0533"
1776,"Sagerudsvingen 7, Våler i Solør",260921355,https://www.finn.no/realestate/homes/ad.html?finnkode=260921355,5,60.674,,11.8388,Enebolig,176.0,realestate,1,1,"60.674,11.8388"
1777,"Solbråtanveien 46C, Kolbotn",260658178,https://www.finn.no/realestate/homes/ad.html?finnkode=260658178,5,59.8015,Solbråtan/Kolbotn,10.803,Enebolig,248.0,realestate,1,1,"59.8015,10.803"
1778,"Professor Hansteens gate 49, Stavanger",260876882,https://www.finn.no/realestate/homes/ad.html?finnkode=260876882,5,58.9496,Tjensvoll,5.7025,Leilighet,86.0,realestate,1,2,"58.9496,5.7025"
1779,"Slettavegen 29, Valsøyfjord",260956782,https://www.finn.no/realestate/homes/ad.html?finnkode=260956782,5,63.1292,HESTNES,8.51222,Enebolig,149.0,realestate,1,1,"63.1292,8.51222"
1780,"Hegnavegen 24, Siljan",260784956,https://www.finn.no/realestate/homes/ad.html?finnkode=260784956,5,59.272,TORSHOLT,9.7252,Enebolig,190.0,realestate,1,1,"59.272,9.7252"
1781,"Kvithammarn 30, Harstad",260085354,https://www.finn.no/realestate/homes/ad.html?finnkode=260085354,5,68.75203,,16.5659,Enebolig,108.0,realestate,1,1,"68.75203,16.5659"
1782,"Tollbugata 29B, Drammen",260633313,https://www.finn.no/realestate/homes/ad.html?finnkode=260633313,5,59.7376,Strømsø,10.2079,Leilighet,49.0,realestate,1,2,"59.7376,10.2079"
1783,"Sigrid Undsets gate 52, Sandnessjøen",259496653,https://www.finn.no/realestate/homes/ad.html?finnkode=259496653,5,66.01033,Segelbergan,12.57758,Enebolig,148.0,realestate,1,1,"66.01033,12.57758"
1784,"Skogfaret 6E, Kløfta",260533043,https://www.finn.no/realestate/homes/ad.html?finnkode=260533043,5,60.0838,Kløfta,11.1366,Enebolig,226.0,realestate,1,1,"60.0838,11.1366"
1785,"Erika Nissens vei 3D, Stavanger",260521974,https://www.finn.no/realestate/homes/ad.html?finnkode=260521974,5,58.9634,Eiganes,5.7044,Leilighet,72.0,realestate,1,1,"58.9634,5.7044"
1786,"Ekromskogen 49B, Lillehammer",258747130,https://www.finn.no/realestate/homes/ad.html?finnkode=258747130,5,61.13904,Nordre Ål,10.45256,Rekkehus,129.0,realestate,1,1,"61.13904,10.45256"
1787,"Fossegrenda 25 B, Trondheim",260401676,https://www.finn.no/realestate/homes/ad.html?finnkode=260401676,5,63.38782,Fossegrenda,10.4129,Leilighet,25.0,realestate,1,1,"63.38782,10.4129"
1788,"Granstangen 12B, Oslo",260206016,https://www.finn.no/realestate/homes/ad.html?finnkode=260206016,5,59.9411,FURUSET,10.9014,Leilighet,58.0,realestate,1,2,"59.9411,10.9014"
1789,"Nørstegard 1, Atrå",259495826,https://www.finn.no/realestate/homes/ad.html?finnkode=259495826,5,59.9846,,8.7281,Enebolig,168.0,realestate,1,1,"59.9846,8.7281"
1790,"Vardåsveien 22, Ski",260038104,https://www.finn.no/realestate/homes/ad.html?finnkode=260038104,5,59.7265,,10.8422,Enebolig,174.0,realestate,1,1,"59.7265,10.8422"
1791,"August Jacobsens gate 12, Bryne",260041739,https://www.finn.no/realestate/homes/ad.html?finnkode=260041739,5,58.7332,,5.65981,Tomannsbolig,129.0,realestate,1,2,"58.7332,5.65981"
1792,"Fossegrenda 25 B, Trondheim",259919503,https://www.finn.no/realestate/homes/ad.html?finnkode=259919503,5,63.38782,Fossegrenda,10.4129,Leilighet,53.0,realestate,1,1,"63.38782,10.4129"
1793,"Opalveien 35, Nedenes",251780879,https://www.finn.no/realestate/homes/ad.html?finnkode=251780879,5,58.41119,,8.71086,Enebolig,203.0,realestate,1,1,"58.41119,8.71086"
1794,"Engehaugen 10, Gjøvik",259335712,https://www.finn.no/realestate/homes/ad.html?finnkode=259335712,5,60.7764,ENGEHAUGEN,10.67071,Enebolig,169.0,realestate,1,1,"60.7764,10.67071"
1795,"Røedstien 20, Nedenes",240689522,https://www.finn.no/realestate/homes/ad.html?finnkode=240689522,5,58.42865,,8.70855,Enebolig,167.0,realestate,1,1,"58.42865,8.70855"
1796,"Blåbærstien 11, Moss",258707980,https://www.finn.no/realestate/homes/ad.html?finnkode=258707980,5,59.4187,Moss / Øreåsen,10.6885,Rekkehus,105.0,realestate,1,2,"59.4187,10.6885"
1797,"Theodor Dahls vei 5, Sandnes",258339666,https://www.finn.no/realestate/homes/ad.html?finnkode=258339666,5,58.8528,Stangeland,5.7201,Enebolig,281.0,realestate,1,1,"58.8528,5.7201"
1798,"Vesteråsveien 40C, Oslo",257127587,https://www.finn.no/realestate/homes/ad.html?finnkode=257127587,5,59.9367,Ullernåsen,10.6437,Leilighet,122.0,realestate,1,1,"59.9367,10.6437"
1799,"Ryggjatunveien 1B, Randaberg",258423154,https://www.finn.no/realestate/homes/ad.html?finnkode=258423154,5,58.99764,RANDABERG,5.62359,Enebolig,234.0,realestate,1,1,"58.99764,5.62359"
1800,"Granittvegen 21, Verdal",258207379,https://www.finn.no/realestate/homes/ad.html?finnkode=258207379,5,63.7691,Vinne,11.48827,Enebolig,136.0,realestate,1,1,"63.7691,11.48827"
1801,"Mindejordet 3, Vanse",257635586,https://www.finn.no/realestate/homes/ad.html?finnkode=257635586,5,58.10253,Minde,6.68885,Rekkehus,148.0,realestate,1,1,"58.10253,6.68885"
1802,"Utsiragata 84, Haugesund",257220727,https://www.finn.no/realestate/homes/ad.html?finnkode=257220727,5,59.3909,,5.3129,Enebolig,223.0,realestate,1,1,"59.3909,5.3129"
1803,"Kalveneset 35, Eidsbygda",253158045,https://www.finn.no/realestate/homes/ad.html?finnkode=253158045,5,62.58581,,7.53208,Enebolig,297.0,realestate,1,1,"62.58581,7.53208"
1804,"Tjessheimveien 9, Figgjo",252182334,https://www.finn.no/realestate/homes/ad.html?finnkode=252182334,5,58.787,,5.8148,Enebolig,261.0,realestate,1,1,"58.787,5.8148"
1805,"Asphaugveien 1, Bjugn",231922147,https://www.finn.no/realestate/homes/ad.html?finnkode=231922147,5,63.7663,BJUGN,9.81471,Enebolig,178.0,realestate,1,1,"63.7663,9.81471"
1806,"Frederik Stangs gate 14, Oslo",261018457,https://www.finn.no/realestate/homes/ad.html?finnkode=261018457,6,59.9141,Frogner,10.7075,Leilighet,62.0,realestate,2,1,"59.9141,10.7075"
1807,"Ensjøsvingen 2, Oslo",260993613,https://www.finn.no/realestate/homes/ad.html?finnkode=260993613,6,59.91139,Ensjø,10.79124,Leilighet,55.0,realestate,2,2,"59.91139,10.79124"
1808,"Høylandsvegen 65D, Vennesla",260912203,https://www.finn.no/realestate/homes/ad.html?finnkode=260912203,6,58.24046,"Påmeldingsvisning, tirs 14/6 kl.16:00!",7.9513,Leilighet,103.0,realestate,2,1,"58.24046,7.9513"
1809,"Måsankroken 12A, Asker",260760147,https://www.finn.no/realestate/homes/ad.html?finnkode=260760147,6,59.82648,,10.39881,Leilighet,70.0,realestate,2,1,"59.82648,10.39881"
1810,"Storevågen 17F, Ålesund",260434093,https://www.finn.no/realestate/homes/ad.html?finnkode=260434093,6,62.4419,Blindheim,6.362,Leilighet,45.0,realestate,2,2,"62.4419,6.362"
1811,"Tyttebærstien 22, Harestua",259839667,https://www.finn.no/realestate/homes/ad.html?finnkode=259839667,6,60.2157,,10.7195,Enebolig,75.0,realestate,2,1,"60.2157,10.7195"
1812,"Fossvegen 5, Lillehammer",259646030,https://www.finn.no/realestate/homes/ad.html?finnkode=259646030,6,61.116,Sentrum,10.4687,Leilighet,65.0,realestate,2,2,"61.116,10.4687"
